time,vertex,state,state_id,buffer_occupation,production_step
37,45,starved,0,0.0,17
37,18,working,2,0.0,18
37,55,working,2,0.0,18
37,60,starved,0,0.0,18
37,64,starved,0,0.0,18
37,19,working,2,0.0,19
37,44,working,2,0.0,19
37,53,blocked,1,0.0,19
37,62,blocked,1,0.0,19
37,20,working,2,0.6666666666666666,20
37,47,working,2,0.6666666666666666,20
37,21,working,2,0.0,21
37,38,starved,0,0.0,21
38,0,blocked,1,0.0,0
38,71,blocked,1,0.0,0
38,1,working,2,0.6666666666666666,1
38,29,working,2,0.6666666666666666,1
38,2,working,2,0.0,2
38,25,working,2,0.0,2
38,50,starved,0,0.0,2
38,51,starved,0,0.0,2
38,70,starved,0,0.0,2
38,3,working,2,0.0,3
38,33,working,2,0.0,3
38,4,working,2,0.0,4
38,28,starved,0,0.0,4
38,41,starved,0,0.0,4
38,52,starved,0,0.0,4
38,69,starved,0,0.0,4
38,5,working,2,0.0,5
38,22,starved,0,0.0,5
38,6,working,2,0.0,6
38,23,starved,0,0.0,6
38,30,starved,0,0.0,6
38,46,starved,0,0.0,6
38,7,working,2,0.0,7
38,42,starved,0,0.0,7
38,67,starved,0,0.0,7
38,8,working,2,0.0,8
38,40,working,2,0.0,8
38,57,starved,0,0.0,8
38,9,working,2,0.0,9
38,34,working,2,0.0,9
38,36,starved,0,0.0,9
38,61,starved,0,0.0,9
38,10,working,2,0.0,10
